entity_id,entity_name,year,entity_code,team_id,total_pitches,total_pitches,total_pitches_empty,median_seconds_empty,total_pitches_onbase,median_seconds_empty,freq_hot,freq_warm,freq_cold
608718,"Suter, Brent",2017,Pit,158,598,598,422,12.012,176,12.012,0.6020066889632107,0.3879598662207358,0.010033444816053512
543045,"Conley, Adam",2017,Pit,146,790,790,534,12.779,256,12.779,0.5455696202531646,0.43544303797468353,0.018987342
593372,"Martinez, Carlos",2017,Pit,138,1437,1437,984,12.913,453,12.913,0.5267919276270007,0.44467640918580376,0.028531663187195546
450729,"Fister, Doug",2017,Pit,111,754,754,474,13.413,280,13.413,0.4761273209549072,0.4960212201591512,0.027851458885941646
502190,"Leake, Mike",2017,Pit,136,1269,1269,863,13.446,406,13.446,0.48936170212765956,0.49645390070921985,0.014184397163120567
594902,"Lively, Ben",2017,Pit,143,664,664,426,13.647,238,13.647,0.4397590361445783,0.5331325301204819,0.027108434
276520,"Arroyo, Bronson",2017,Pit,113,531,531,337,13.847,194,13.847,0.4425612052730697,0.544256121,0.013182674199623353
608566,"Márquez, Germán",2017,Pit,115,1174,1174,775,14.014,399,14.014,0.42163543441226575,0.5519591141396933,0.026405451448040886
519242,"Sale, Chris",2017,Pit,111,1525,1525,1063,14.014,462,14.014,0.43868852459016394,0.5449180327868852,0.016393443
573185,"Straily, Dan",2017,Pit,146,1347,1347,930,14.047,417,14.047,0.42464736451373425,0.5412026726057907,0.034149963
607229,"Gsellman, Robert",2017,Pit,121,916,916,578,14.248,338,14.248,0.38427947598253276,0.5775109170305677,0.038209607
608379,"Wacha, Michael",2017,Pit,138,1209,1209,837,14.415,372,14.415,0.41025641025641024,0.5715467328370554,0.018196856906534328
641771,"Kuhl, Chad",2017,Pit,134,1276,1276,795,14.447,481,14.447,0.34717868338557994,0.603448276,0.049373041
605151,"Bradley, Archie",2017,Pit,109,532,532,332,14.448,200,14.448,0.34962406015037595,0.5939849624060151,0.056390977
596001,"Junis, Jakob",2017,Pit,118,735,735,485,14.481,250,14.481,0.3727891156462585,0.5972789115646259,0.029931972789115645
456167,"Griffin, A.J.",2017,Pit,140,624,624,424,14.514,200,14.514,0.39903846153846156,0.5817307692307693,0.019230769230769232
461829,"González, Gio",2017,Pit,120,1694,1694,1122,14.547,572,14.547,0.3795749704840614,0.577331759,0.04309327
621389,"Blach, Ty",2017,Pit,137,1213,1213,775,14.548,438,14.548,0.382522671,0.6042868920032977,0.013190436933223413
607237,"Garrett, Amir",2017,Pit,113,566,566,412,14.581,154,14.581,0.411660777,0.568904594,0.019434628975265017
571927,"Matz, Steven",2017,Pit,121,584,584,381,14.581,203,14.581,0.3818493150684932,0.5907534246575342,0.02739726
622491,"Castillo, Luis",2017,Pit,113,682,682,487,14.582,195,14.582,0.40615835777126097,0.5498533724340176,0.04398827
489119,"Miley, Wade",2017,Pit,110,1515,1515,914,14.615,601,14.615,0.3425742574257426,0.6356435643564357,0.021782178
606131,"Perdomo, Luis",2017,Pit,135,1175,1175,749,14.648,426,14.648,0.3497872340425532,0.6212765957446809,0.02893617
605200,"Davies, Zach",2017,Pit,158,1519,1519,991,14.681,528,14.681,0.3548387096774194,0.6010533245556287,0.044107965766951945
570632,"Ureña, José",2017,Pit,146,1374,1374,919,14.682,455,14.682,0.3813682678311499,0.5800582241630277,0.038573508
592836,"Walker, Taijuan",2017,Pit,109,1291,1291,845,14.714,446,14.714,0.35398915569326106,0.6158017041053447,0.030209140201394268
571578,"Corbin, Patrick",2017,Pit,109,1385,1385,929,14.748,456,14.748,0.35667870036101085,0.6129963898916968,0.03032491
285079,"Dickey, R.A.",2017,Pit,144,1271,1271,820,14.748,451,14.748,0.3697875688434304,0.6199842643587726,0.010228166797797011
622663,"Severino, Luis",2017,Pit,147,1364,1364,927,14.782,437,14.782,0.3592375366568915,0.5982404692082112,0.042521994
592791,"Taillon, Jameson",2017,Pit,134,1053,1053,634,14.848,419,14.848,0.3124406457739791,0.6571699905033238,0.030389363722697058
592170,"Bridwell, Parker",2017,Pit,108,814,814,595,14.882,219,14.882,0.3746928746928747,0.6031941031941032,0.022113022113022112
430912,"Cain, Matt",2017,Pit,137,1014,1014,580,14.915,434,14.915,0.29289940828402367,0.6775147928994083,0.029585798816568046
458708,"Tomlin, Josh",2017,Pit,114,929,929,655,14.915,274,14.915,0.36167922497308935,0.6146393972012917,0.023681377825618945
456501,"Cueto, Johnny",2017,Pit,137,1115,1115,681,14.948,434,14.948,0.32107623318385653,0.6089686098654709,0.069955157
623149,"Sewald, Paul",2017,Pit,121,530,530,301,15.015,229,15.015,0.28867924528301886,0.6849056603773584,0.026415094339622643
502327,"Santiago, Héctor",2017,Pit,142,594,594,375,15.015,219,15.015,0.31313131313131315,0.632996633,0.053872054
592314,"Foltynewicz, Mike",2017,Pit,144,1312,1312,767,15.048,545,15.048,0.3086890243902439,0.6753048780487805,0.016006098
607074,"Rodón, Carlos",2017,Pit,145,557,557,341,15.082,216,15.082,0.29084380610412924,0.651705566,0.057450628
545333,"Bauer, Trevor",2017,Pit,114,1552,1552,1041,15.082,511,15.082,0.3292525773195876,0.6262886597938144,0.044458763
543294,"Hendricks, Kyle",2017,Pit,112,1127,1127,779,15.115,348,15.115,0.33895297249334516,0.6282165039929015,0.032830523513753325
643410,"Leiter Jr., Mark",2017,Pit,143,750,750,493,15.148,257,15.148,0.31333333333333335,0.6226666666666667,0.064
572020,"Paxton, James",2017,Pit,136,1005,1005,686,15.149,319,15.149,0.32139303482587067,0.6587064676616915,0.019900498
592866,"Williams, Trevor",2017,Pit,134,1100,1100,701,15.182,399,15.182,0.2918181818181818,0.6636363636363637,0.044545455
450306,"Vargas, Jason",2017,Pit,118,1438,1438,945,15.216,493,15.216,0.3031988873435327,0.6794158553546592,0.017385257301808066
605182,"Clevinger, Mike",2017,Pit,114,1050,1050,698,15.249,352,15.249,0.3038095238095238,0.6523809523809524,0.043809524
601713,"Pivetta, Nick",2017,Pit,143,1117,1117,711,15.282,406,15.282,0.3025962399283796,0.6598030438675022,0.037600716
607219,"Romano, Sal",2017,Pit,113,713,713,460,15.315,253,15.315,0.2861150070126227,0.664796634,0.049088359
453385,"Richard, Clayton",2017,Pit,135,1333,1333,868,15.315,465,15.315,0.3008252063015754,0.668417104,0.030757689
527048,"Pérez, Martín",2017,Pit,140,1483,1483,963,15.349,520,15.349,0.3000674308833446,0.6459878624409979,0.053944707
517593,"Salazar, Danny",2017,Pit,114,776,776,535,15.382,241,15.382,0.31443298969072164,0.6365979381443299,0.048969072
543022,"Chatwood, Tyler",2017,Pit,115,1131,1131,733,15.482,398,15.482,0.28470380194518125,0.6772767462422635,0.038019452
594742,"Asher, Alec",2017,Pit,110,527,527,308,15.549,219,15.549,0.2314990512333966,0.69829222,0.070208729
622608,"Senzatela, Antonio",2017,Pit,115,1087,1087,720,15.582,367,15.582,0.28794848206071755,0.671573137,0.040478380864765406
543037,"Cole, Gerrit",2017,Pit,134,1517,1517,996,15.616,521,15.616,0.28279499011206327,0.6875411997363217,0.02966381
518774,"Harvey, Matt",2017,Pit,121,780,780,468,15.648,312,15.648,0.23717948717948717,0.7243589743589743,0.038461538461538464
656794,"Newcomb, Sean",2017,Pit,144,816,816,513,15.649,303,15.649,0.2757352941176471,0.6899509803921569,0.034313725
571510,"Boyd, Matthew",2017,Pit,116,1057,1057,678,15.649,379,15.649,0.27246925260170296,0.6584673604541155,0.069063387
534910,"Hahn, Jesse",2017,Pit,133,586,586,332,15.682,254,15.682,0.24061433447098976,0.7150170648464164,0.044368601
502239,"Cahill, Trevor",2017,Pit,118,710,710,470,15.682,240,15.682,0.28732394366197184,0.6816901408450704,0.030985915492957747
468504,"Chacín, Jhoulys",2017,Pit,135,1406,1406,915,15.715,491,15.715,0.2631578947368421,0.6991465149359887,0.03769559
434622,"Jiménez, Ubaldo",2017,Pit,110,1250,1250,812,15.716,438,15.716,0.264,0.7096,0.0264
543699,"Roark, Tanner",2017,Pit,120,1525,1525,962,15.749,563,15.749,0.2459016393442623,0.7127868852459016,0.041311475
608665,"Graveman, Kendall",2017,Pit,133,815,815,515,15.749,300,15.749,0.2809815950920245,0.6552147239263804,0.063803681
467100,"Nova, Iván",2017,Pit,134,1121,1121,760,15.749,361,15.749,0.2729705619982159,0.6761819803746655,0.050847458
519043,"Moore, Matt",2017,Pit,137,1279,1279,769,15.783,510,15.783,0.24081313526192338,0.7138389366692729,0.045347928
534947,"Adleman, Tim",2017,Pit,113,922,922,648,15.816,274,15.816,0.2668112798264642,0.7114967462039046,0.021691973969631236
595191,"Eickhoff, Jerad",2017,Pit,143,981,981,574,15.849,407,15.849,0.2252803261977574,0.7390417940876657,0.03567788
621244,"Berríos, José",2017,Pit,142,1114,1114,734,15.849,380,15.849,0.26032315978456017,0.6723518850987432,0.067324955
592332,"Gausman, Kevin",2017,Pit,110,1568,1568,971,15.849,597,15.849,0.2423469387755102,0.7315051020408163,0.026147959
434671,"Sánchez, Aníbal",2017,Pit,116,843,843,565,15.85,278,15.85,0.24080664294187426,0.7188612099644128,0.040332147
592229,"Covey, Dylan",2017,Pit,145,563,563,373,15.85,190,15.85,0.26287744227353466,0.6820603907637656,0.055062166962699825
112526,"Colon, Bartolo",2017,Pit,142,1090,1090,668,15.915,422,15.915,0.22293577981651377,0.726605505,0.050458716
592662,"Ray, Robbie",2017,Pit,109,1251,1251,908,15.915,343,15.915,0.28137490007993604,0.6506794564348521,0.067945643
445926,"Chavez, Jesse",2017,Pit,108,1097,1097,788,15.916,309,15.916,0.2944393801276208,0.659070191,0.046490428
573186,"Stroman, Marcus",2017,Pit,141,1536,1536,1044,15.949,492,15.949,0.2513020833333333,0.7141927083333334,0.034505208333333336
605254,"Gossett, Daniel",2017,Pit,133,720,720,473,15.949,247,15.949,0.22916666666666666,0.7527777777777778,0.018055555555555554
452657,"Lester, Jon",2017,Pit,112,1475,1475,974,15.949,501,15.949,0.26915254237288133,0.6969491525423729,0.033898305
643327,"Godley, Zack",2017,Pit,109,1182,1182,849,15.983,333,15.983,0.2546531302876481,0.7064297800338409,0.03891709
519144,"Porcello, Rick",2017,Pit,111,1488,1488,973,16.016,515,16.016,0.2493279569892473,0.7063172043010753,0.044354839
429722,"Santana, Ervin",2017,Pit,142,1405,1405,1000,16.083,405,16.083,0.2775800711743772,0.6839857651245551,0.038434163701067614
554430,"Wheeler, Zack",2017,Pit,121,717,717,455,16.083,262,16.083,0.2175732217573222,0.7308228730822873,0.051603905
640455,"Manaea, Sean",2017,Pit,133,1187,1187,714,16.116,473,16.116,0.2064026958719461,0.7489469250210615,0.044650379
434538,"Liriano, Francisco",2017,Pit,117,873,873,508,16.116,365,16.116,0.1970217640320733,0.7766323024054983,0.026345933562428408
606167,"Mejía, Adalberto",2017,Pit,142,776,776,453,16.183,323,16.183,0.22036082474226804,0.6778350515463918,0.1018041237113402
457918,"Happ, J.A.",2017,Pit,141,1153,1153,765,16.183,388,16.183,0.24111014744145706,0.7302688638334779,0.028620988725065046
462136,"Estrada, Marco",2017,Pit,141,1438,1438,918,16.183,520,16.183,0.21001390820584145,0.7649513212795549,0.025034770514603615
656756,"Montgomery, Jordan",2017,Pit,147,1156,1156,782,16.217,374,16.217,0.22404844290657439,0.7179930795847751,0.057958478
