"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","on_base_percent","p_era","p_total_stolen_base","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","xba","woba","xwoba","xobp"
"Wainwright, Adam","425794","2023","484",11.4,8.5,".345",".400","7.40","4","0","12","0",".326",".414",".402",".383"
"Greinke, Zack","425844","2023","593",16.4,3.9,".282",".312","5.06","2","5","41","0",".290",".332",".344",".322"
"Verlander, Justin","434378","2023","669",21.5,6.7,".226",".283","3.22","11","0","37","0",".229",".284",".295",".287"
"Jansen, Kenley","445276","2023","188",27.7,9,".237",".314","3.63","13","0","7","0",".203",".303",".276",".284"
"Chavez, Jesse","445926","2023","144",27.1,8.3,".203",".285","1.56","3","0","10","0",".233",".263",".293",".312"
"Kluber, Corey","446372","2023","257",16.3,8.2,".297",".366","7.04","3","0","8","0",".273",".407",".377",".344"
"Hill, Rich","448179","2023","660",19.5,8.8,".281",".351","5.41","25","1","49","0",".280",".359",".360",".352"
"Morton, Charlie","450203","2023","716",25.6,11.6,".244",".344","3.64","16","2","45","0",".248",".318",".330",".348"
"Bard, Daniel","453268","2023","232",20.3,21.1,".206",".397","4.56","2","0","13","1",".226",".345",".372",".417"
"Scherzer, Max","453286","2023","621",28,7.2,".221",".282","3.77","9","0","22","0",".207",".298",".281",".269"
"Martin, Chris","455119","2023","199",23.1,4,".237",".266","1.05","4","0","4","1",".265",".243",".277",".297"
"Cueto, Johnny","456501","2023","218",17.9,6.9,".256",".317","6.02","0","1","5","0",".254",".362",".345",".316"
"Lynn, Lance","458681","2023","808",23.6,8.3,".259",".328","5.73","7","0","24","0",".252",".347",".337",".322"
"Carrasco, Carlos","471911","2023","417",15.8,9.1,".310",".381","6.80","12","3","52","0",".306",".390",".388",".380"
"García, Luis","472610","2023","267",19.9,9,".252",".336","4.07","12","1","8","1",".255",".313",".311",".339"
"Kershaw, Clayton","477132","2023","523",26.2,7.6,".209",".273","2.46","6","1","49","0",".232",".280",".299",".295"
"Hunter, Tommy","488984","2023","106",18.9,4.7,".286",".330","6.85","1","0","2","0",".254",".367",".345",".301"
"Miley, Wade","489119","2023","490",16.1,7.8,".223",".287","3.14","2","4","28","0",".254",".293",".320",".316"
"Yates, Kirby","489446","2023","254",31.5,14.6,".167",".304","3.28","11","1","16","0",".205",".282",".326",".338"
"Ottavino, Adam","493603","2023","261",23.8,11.1,".208",".320","3.21","22","0","24","1",".211",".294",".291",".323"
"Quintana, José","500779","2023","319",18.8,7.5,".260",".314","3.57","5","0","25","0",".275",".297",".328",".330"
"Gibson, Kyle","502043","2023","807",19.5,6.8,".270",".322","4.73","7","1","51","0",".270",".326",".335",".325"
"Robertson, David","502085","2023","269",29,9.3,".221",".302","3.03","9","0","13","0",".206",".289",".280",".289"
"Cobb, Alex","502171","2023","646",20.3,5.7,".272",".319","3.87","13","2","60","1",".278",".325",".333",".326"
"Anderson, Chase","502624","2023","372",17.2,8.9,".274",".350","5.42","4","0","19","0",".258",".355",".340",".339"
"Darvish, Yu","506433","2023","573",24.6,7.3,".259",".321","4.56","17","0","35","0",".242",".321",".302",".308"
"Alexander, Scott","518397","2023","208",14.9,5.3,".282",".324","4.66","7","0","9","0",".267",".299",".294",".310"
"Brasier, Ryan","518489","2023","239",23.4,8.4,".197",".272","3.02","8","0","10","0",".231",".248",".292",".308"
"Cruz, Fernando","518585","2023","279",35.1,10,".211",".295","4.91","6","0","15","0",".204",".290",".288",".289"
"Diekman, Jake","518617","2023","243",26.3,15.6,".183",".314","3.34","8","0","3","0",".199",".271",".284",".329"
"Kelly, Merrill","518876","2023","721",25.9,9.4,".222",".299","3.29","13","3","65","1",".244",".294",".313",".320"
"Kimbrel, Craig","518886","2023","278",33.8,10.1,".181",".273","3.26","12","0","6","1",".192",".269",".281",".288"
"Moore, Matt","519043","2023","218",27.5,6.9,".232",".295","2.56","5","0","16","0",".214",".296",".282",".281"
"Pressly, Ryan","519151","2023","268",27.6,6,".220",".265","3.58","1","0","1","0",".239",".269",".294",".283"
"Sale, Chris","519242","2023","425",29.4,6.8,".227",".292","4.30","8","0","8","0",".211",".306",".294",".282"
"Smith, Will","519293","2023","226",24.3,7.5,".211",".270","4.40","7","2","10","0",".230",".262",".284",".288"
"Kelly, Joe","523260","2023","168",35.7,10.7,".196",".292","4.12","3","0","2","0",".185",".279",".264",".282"
"Pérez, Martín","527048","2023","608",15.3,8.1,".274",".336","4.45","3","0","18","0",".272",".335",".338",".334"
"Teheran, Julio","527054","2023","288",17.4,4.5,".254",".296","4.40","9","3","33","0",".271",".324",".339",".316"
"Ramírez, Erasmo","541640","2023","274",15.7,4.7,".328",".361","6.41","1","0","10","0",".292",".372",".351",".332"
